Pub_Pri,School Code,School,City,County/State/Country
Public,54705,PALMDALE AEROSPACE ACADEMY,Palmdale,Los Angeles
Public,50982,CLOVIS WEST HIGH SCHOOL,Fresno,Fresno
Public,51034,PACIFICA HIGH SCHOOL,Garden Grove,Orange
Public,53595,VACAVILLE HIGH SCHOOL,Vacaville,Solano
Public,53868,MISSION HILLS HIGH SCHOOL,San Marcos,San Diego
Public,52085,NAPA HIGH SCHOOL,Napa,Napa
Public,54357,MURRIETA MESA HIGH SCHOOL,Murrieta,Riverside
Public,53381,WEST HILLS HIGH SCHOOL,Santee,San Diego
Public,52154,LAKE BALBOA COLLEGE PREP K-12,Van Nuys,Los Angeles
Public,52088,VINTAGE HIGH SCHOOL,Napa,Napa
Public,53613,STEELE CANYON HIGH SCHOOL,Spring Valley,San Diego
Public,52031,JOSEPH A GREGORI HIGH SCHOOL,Modesto,Stanislaus
Public,51650,JOHN MARSHALL HIGH SCHOOL,Los Angeles,Los Angeles
Public,54375,JOHN C KIMBALL HIGH SCHOOL,Tracy,San Joaquin
Public,51350,HELIX HIGH SCHOOL,La Mesa,San Diego
Public,53737,LA QUINTA HIGH SCHOOL,Westminster,Orange
Public,50266,PORTOLA HIGH SCHOOL,Irvine,Orange
Public,52267,CANYON HIGH SCHOOL,Anaheim,Orange
Public,53075,ABRAHAM LINCOLN HIGH SCHOOL,San Jose,Santa Clara
Public,50135,ARCATA HIGH SCHOOL,Arcata,Humboldt
Private,50157,VALLEY CHRISTIAN HIGH SCHOOL,Cerritos,Los Angeles
Public,50491,CALIFORNIA ACAD MATH & SCIENCE,Carson,Los Angeles
Public,50910,ARMIJO HIGH SCHOOL,Fairfield,Solano
Public,51267,ARNOLD O BECKMAN HIGH SCHOOL,Irvine,Orange
Public,51218,EDISON HIGH SCHOOL,Huntington Beach,Orange
Public,54663,NEW WEST CHARTER SCHOOL,Los Angeles,Los Angeles
Public,51089,JOHN F KENNEDY HIGH SCHOOL,Granada Hills,Los Angeles
Public,52600,REDONDO UNION HIGH SCHOOL,Redondo Beach,Los Angeles
Public,52694,GLEN A WILSON HIGH SCHOOL,Hacienda Heights,Los Angeles
Private,53097,PRESENTATION HIGH SCHOOL,San Jose,Santa Clara
Public,53537,NORTH TAHOE HIGH SCHOOL,Tahoe City,Placer
Public,50005,ALAMEDA HIGH SCHOOL,Alameda,Alameda
Private,52896,CATHEDRAL CATHOLIC H S,San Diego,San Diego
Public,50725,SAN RAMON VALLEY HIGH SCHOOL,Danville,Contra Costa
Public,53113,YERBA BUENA HIGH SCHOOL,San Jose,Santa Clara
Private,51565,CHAMINADE COLLEGE PREPARATORY,West Hills,Los Angeles
Public,53597,WILL C WOOD HIGH SCHOOL,Vacaville,Solano
Public,53252,DOS PUEBLOS HIGH SCHOOL,Goleta,Santa Barbara
Public,54166,VISTA DEL LAGO HIGH SCHOOL,Folsom,Sacramento
Public,50602,OTAY RANCH HIGH SCHOOL,Chula Vista,San Diego
Private,51792,SHALHEVET HIGH SCHOOL,Los Angeles,Los Angeles
Public,52728,WEST CAMPUS HIGH SCHOOL,Sacramento,Sacramento
Private,50088,SERVITE HIGH SCHOOL,Anaheim,Orange
Public,52834,SCRIPPS RANCH HIGH,San Diego,San Diego
Public,53864,WEST RANCH HIGH SCHOOL,Valencia,Los Angeles
Private,51349,SAINT JOSEPH HIGH SCHOOL,Lakewood,Los Angeles
Private,52124,SAGE HILL SCHOOL,Newport Coast,Orange
Public,53373,PONDEROSA HIGH SCHOOL,Shingle Springs,El Dorado
